RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF,Count,CF_Range
consomme,CAMEMBERT,0.86199677,7.55,74.0,"[6, 8)"
fontina,CAMEMBERT,0.8505274,7.55,74.0,"[6, 8)"
chocolate curl,CHOCOLATE,0.94123334,6.6,74.0,"[6, 8)"
penne rigate,PLAICE,0.850524,6.13,74.0,"[6, 8)"
ajwain,HAKE,0.8560462,10.12,72.0,"[10, 12)"
beef bouillon powder,BEEF WITH BONE,0.817514,19.54,72.0,"[18, 20)"
sole fillet,SOLE,0.8794819,5.4,70.0,"[4, 6)"
slab bacon,BACON,0.9120922,4.03,70.0,"[4, 6)"
farina,CAMEMBERT,0.8541467,7.55,70.0,"[6, 8)"
cheesecloth,CHEESE,0.8887203,11.87,70.0,"[10, 12)"
havarti cheese,CHEESE,0.8540498,11.87,70.0,"[10, 12)"
jarlsberg cheese,CHEESE,0.84572273,11.87,68.0,"[10, 12)"
mozzarella ball,MOZZARELLA,0.8631218,8.48,68.0,"[8, 10)"
lamb meat,LAMB WITH BONE,0.8748337,18.01,68.0,"[18, 20)"
table cream,CREAM,0.8236286,5.34,64.0,"[4, 6)"
lamb fillet,LAMB WITH BONE,0.8762768,18.01,64.0,"[18, 20)"
kasseri cheese,CHEESE SEMIHARD,0.88415754,8.65,62.0,"[8, 10)"
galliano,STRACCHINO,0.8192508,4.92,62.0,"[4, 6)"
edam cheese,CHEESE,0.9052633,11.87,62.0,"[10, 12)"
cream sherry,CREAM,0.8385999,5.34,62.0,"[4, 6)"
crepe,PLAICE,0.8488612,6.13,62.0,"[6, 8)"
bulk sausage,PORK SAUSAGE,0.8132588,17.94,62.0,"[16, 18)"
linguica sausage,PORK SAUSAGE,0.8102502,17.94,60.0,"[16, 18)"
pork cutlet,PORK NECK,0.9241958,4.03,60.0,"[4, 6)"
asadero cheese,CHEESE,0.88928044,11.87,60.0,"[10, 12)"
sirloin beef,BEEF WITH BONE,0.8777833,19.54,58.0,"[18, 20)"
oleo,EMMENTAL,0.8312832,8.2,58.0,"[8, 10)"
beef sausage,PORK SAUSAGE,0.89775455,17.94,58.0,"[16, 18)"
pre mozzarella cheese,CHEESE SEMIHARD,0.8553159,8.65,56.0,"[8, 10)"
breakfast sausage,BACON,0.840494,4.03,56.0,"[4, 6)"
gorgonzola cheese,CHEESE SEMIHARD,0.88912535,8.65,56.0,"[8, 10)"
lamb stew meat,LAMB WITH BONE,0.81718254,18.01,56.0,"[18, 20)"
cream cheese spread,CHEESE SEMIHARD,0.8147749,8.65,56.0,"[8, 10)"
crawfish,CUTTLEFISH,0.86535496,5.05,56.0,"[4, 6)"
sirloin tip steak,BEEF WITH BONE,0.8303351,19.54,54.0,"[18, 20)"
roast pork,PORK SAUSAGE,0.88979495,17.94,54.0,"[16, 18)"
crust,PLAICE,0.8199565,6.13,54.0,"[6, 8)"
back bacon,BACON,0.9573294,4.03,54.0,"[4, 6)"
beef marrow,BEEF WITH BONE,0.92071104,19.54,54.0,"[18, 20)"
steak seasoning,BEEF WITH BONE,0.8175063,19.54,54.0,"[18, 20)"
pork neck,PORK NECK,0.9999999,4.03,54.0,"[4, 6)"
hamburger meat,BEEF WITH BONE,0.83255684,19.54,52.0,"[18, 20)"
chocolate morsel,CHOCOLATE,0.94208753,6.6,52.0,"[6, 8)"
pork sausage link,PORK SAUSAGE,0.97243,17.94,52.0,"[16, 18)"
capellini,PECORINO,0.8606092,18.85,52.0,"[18, 20)"
cheddar monterey jack cheese,CHEESE SEMIHARD,0.8406222,8.65,52.0,"[8, 10)"
pork mince,PORK HAM,0.93956643,7.93,50.0,"[6, 8)"
lamb cutlet,LAMB WITH BONE,0.85065114,18.01,50.0,"[18, 20)"
treacle,BARNACLE,0.838415,4.32,50.0,"[4, 6)"
greek feta cheese,CHEESE SEMIHARD,0.825457,8.65,50.0,"[8, 10)"
cannellini,STRACCHINO,0.89567906,4.92,50.0,"[4, 6)"
jalapeno jack cheese,CHEESE SEMIHARD,0.8440455,8.65,50.0,"[8, 10)"
sumaq,HAKE,0.81312305,10.12,50.0,"[10, 12)"
lardons,CAMEMBERT,0.8766172,7.55,50.0,"[6, 8)"
tripe,PLAICE,0.8231293,6.13,48.0,"[6, 8)"
cheese spread,CHEESE SEMIHARD,0.8934674,8.65,48.0,"[8, 10)"
mozzarella,MOZZARELLA,1.0000002,8.48,48.0,"[8, 10)"
taco cheese,CHEESE SEMIHARD,0.8475441,8.65,48.0,"[8, 10)"
tostada,GRANA PADANO,0.8636543,14.27,46.0,"[14, 16)"
stew beef chunk,BEEF WITH BONE,0.8731618,19.54,46.0,"[18, 20)"
ditalini,STRACCHINO,0.8525857,4.92,46.0,"[4, 6)"
beef chuck steak,BEEF WITH BONE,0.8847292,19.54,46.0,"[18, 20)"
beef tongue,BEEF WITH BONE,0.90669084,19.54,46.0,"[18, 20)"
morel,HAKE,0.857124,10.12,44.0,"[10, 12)"
chocolate bar,CHOCOLATE,0.9131547,6.6,44.0,"[6, 8)"
lamb steak,LAMB WITH BONE,0.84925765,18.01,44.0,"[18, 20)"
campari,STRACCHINO,0.87335277,4.92,44.0,"[4, 6)"
octopus,OCTOPUS,1.0,5.8,44.0,"[4, 6)"
boursin cheese,CHEESE,0.8697115,11.87,44.0,"[10, 12)"
beef rump roast,PORK SAUSAGE,0.8459182,17.94,44.0,"[16, 18)"
fleur de sel,PLAICE,0.8271358,6.13,42.0,"[6, 8)"
shoulder lamb chop,LAMB WITH BONE,0.8251208,18.01,42.0,"[18, 20)"
cheese food,CHEESE SEMIHARD,0.88949305,8.65,42.0,"[8, 10)"
italian pork sausage,PORK SAUSAGE,0.9047172,17.94,42.0,"[16, 18)"
non milk,SOLE,0.8278591,5.4,40.0,"[4, 6)"
cream milk,CREAM,0.88242435,5.34,40.0,"[4, 6)"
beef dripping,BEEF WITH BONE,0.84139776,19.54,40.0,"[18, 20)"
catfish,CATFISH,0.99999976,8.93,40.0,"[8, 10)"
beef hot dog,BEEF WITH BONE,0.8183779,19.54,40.0,"[18, 20)"
vanilla flavoring,VANILLA,0.85914004,4.3,40.0,"[4, 6)"
beef suet,BEEF WITH BONE,0.88566685,19.54,40.0,"[18, 20)"
mizithra cheese,CHEESE SEMIHARD,0.85352325,8.65,40.0,"[8, 10)"
pancetta bacon,BACON,0.9331664,4.03,38.0,"[4, 6)"
sago,HAKE,0.8675432,10.12,38.0,"[10, 12)"
tuna oil,TUNA,0.8931434,4.68,38.0,"[4, 6)"
goat meat,GOAT CHEESE,0.8402431,8.18,38.0,"[8, 10)"
venison steak,BEEF WITH BONE,0.8535126,19.54,38.0,"[18, 20)"
piri,HAKE,0.8170926,10.12,38.0,"[10, 12)"
bottom beef roast,BEEF WITH BONE,0.81593907,19.54,36.0,"[18, 20)"
kelp,SQUID,0.8238572,7.51,36.0,"[6, 8)"
pork stew meat,PORK SAUSAGE,0.91261506,17.94,36.0,"[16, 18)"
dulce de leche,GRANA PADANO,0.84332675,14.27,36.0,"[14, 16)"
pork butt roast,PORK SAUSAGE,0.89645195,17.94,36.0,"[16, 18)"
caraway,HAKE,0.84337294,10.12,36.0,"[10, 12)"
pectin,PLAICE,0.8703222,6.13,36.0,"[6, 8)"
farro,HAKE,0.8659346,10.12,36.0,"[10, 12)"
frisee,CAMEMBERT,0.8536742,7.55,36.0,"[6, 8)"
stewing lamb,LAMB WITH BONE,0.8202851,18.01,34.0,"[18, 20)"
chunk tuna,TUNA,0.8899897,4.68,34.0,"[4, 6)"
beef oxtail,BEEF WITH BONE,0.8856051,19.54,34.0,"[18, 20)"
pork hock,PORK NECK,0.93278325,4.03,34.0,"[4, 6)"
cheese sauce,CHEESE SEMIHARD,0.892711,8.65,34.0,"[8, 10)"
sazon goya coriander annatto,CAMEMBERT,0.8281142,7.55,32.0,"[6, 8)"
beef cube steak,BEEF WITH BONE,0.8907214,19.54,32.0,"[18, 20)"
pepper jack cheese,CHEESE SEMIHARD,0.8466737,8.65,32.0,"[8, 10)"
longhorn cheese,CHEESE SEMIHARD,0.8105496,8.65,32.0,"[8, 10)"
achiote,HAKE,0.8594893,10.12,32.0,"[10, 12)"
vegetarian beef,BEEF BONE FREE,0.8389766,27.72,32.0,"[26, 28)"
fillet catfish,CATFISH,0.9391648,8.93,32.0,"[8, 10)"
pork leg,PORK NECK,0.9646313,4.03,30.0,"[4, 6)"
amaretti,STRACCHINO,0.83614165,4.92,30.0,"[4, 6)"
squid ring,SQUID,0.9282275,7.51,30.0,"[6, 8)"
pouring cream,CREAM,0.90266013,5.34,30.0,"[4, 6)"
beef heart,BEEF WITH BONE,0.9065428,19.54,30.0,"[18, 20)"
beef stock broth,BEEF WITH BONE,0.8573884,19.54,30.0,"[18, 20)"
beef rump,BEEF WITH BONE,0.91358024,19.54,30.0,"[18, 20)"
albacore tuna,TUNA,0.8391293,4.68,30.0,"[4, 6)"
pork shank,PORK NECK,0.92053133,4.03,28.0,"[4, 6)"
crisp bacon,BACON,0.8696344,4.03,28.0,"[4, 6)"
kangaroo fillet,KANGAROO MEAT,0.86857504,4.1,28.0,"[4, 6)"
sausage link,PORK SAUSAGE,0.82514477,17.94,28.0,"[16, 18)"
veal steak,BEEF WITH BONE,0.8563989,19.54,28.0,"[18, 20)"
beef loin steak,BEEF WITH BONE,0.9124075,19.54,28.0,"[18, 20)"
tuna brine,TUNA,0.92302,4.68,28.0,"[4, 6)"
spicy pork sausage,PORK SAUSAGE,0.9122176,17.94,26.0,"[16, 18)"
paneer cheese,CHEESE SEMIHARD,0.90735805,8.65,26.0,"[8, 10)"
chevre cheese,CHEESE,0.8761282,11.87,26.0,"[10, 12)"
pizza cheese,CHEESE SEMIHARD,0.85253376,8.65,26.0,"[8, 10)"
beef rib roast,BEEF WITH BONE,0.8611143,19.54,26.0,"[18, 20)"
vanilla powder,VANILLA,0.9000356,4.3,26.0,"[4, 6)"
emeril essence,EMMENTAL,0.83576673,8.2,26.0,"[8, 10)"
baby octopus,OCTOPUS,0.8401603,5.8,26.0,"[4, 6)"
vanilla syrup,VANILLA,0.88107324,4.3,26.0,"[4, 6)"
masoor dal,GRANA PADANO,0.8194187,14.27,26.0,"[14, 16)"
colby jack cheese,CHEESE SEMIHARD,0.86852455,8.65,26.0,"[8, 10)"
aioli,HAKE,0.84733677,10.12,26.0,"[10, 12)"
salad shrimp,SHRIMP,0.85516,11.95,26.0,"[10, 12)"
beef tenderloin fillet,BEEF WITH BONE,0.8789285,19.54,26.0,"[18, 20)"
macaroni cheese,CHEESE SEMIHARD,0.8526207,8.65,26.0,"[8, 10)"
hijiki,HAKE,0.81402135,10.12,24.0,"[10, 12)"
meat beef,BEEF WITH BONE,0.9062154,19.54,24.0,"[18, 20)"
bacon strip,BACON,0.9234792,4.03,24.0,"[4, 6)"
vegan parmesan cheese,CHEESE SEMIHARD,0.83958495,8.65,24.0,"[8, 10)"
beef shoulder,BEEF WITH BONE,0.8952739,19.54,24.0,"[18, 20)"
cheese whiz,CHEESE SEMIHARD,0.8887749,8.65,24.0,"[8, 10)"
lamb liver,LAMB WITH BONE,0.8326428,18.01,24.0,"[18, 20)"
chinese barbecue pork,PORK SAUSAGE,0.83725154,17.94,24.0,"[16, 18)"
khoya,HAKE,0.86465746,10.12,24.0,"[10, 12)"
wattleseed,HAKE,0.8296474,10.12,24.0,"[10, 12)"
campbell cheddar cheese soup,CHEESE SEMIHARD,0.84517395,8.65,24.0,"[8, 10)"
chocolate chunk,CHOCOLATE,0.96413505,6.6,24.0,"[6, 8)"
sofrito,HAKE,0.8734404,10.12,24.0,"[10, 12)"
log goat cheese,GOAT CHEESE,0.8976892,8.18,24.0,"[8, 10)"
rub,HAKE,0.83098346,10.12,24.0,"[10, 12)"
saunf,HAKE,0.886181,10.12,24.0,"[10, 12)"
mature cheddar cheese,CHEESE SEMIHARD,0.82289934,8.65,24.0,"[8, 10)"
beef tip,BEEF WITH BONE,0.9035296,19.54,24.0,"[18, 20)"
shortcut bacon,BACON,0.89685977,4.03,24.0,"[4, 6)"
lamb rack,LAMB WITH BONE,0.8464079,18.01,24.0,"[18, 20)"
pork sirloin roast,PORK SAUSAGE,0.8758014,17.94,24.0,"[16, 18)"
chocolate wafer,CHOCOLATE,0.91735417,6.6,22.0,"[6, 8)"
cavatelli,STRACCHINO,0.9096558,4.92,22.0,"[4, 6)"
rindless bacon,BACON,0.8210194,4.03,22.0,"[4, 6)"
ahi tuna,TUNA,0.9621315,4.68,22.0,"[4, 6)"
sucanat,HAKE,0.85610735,10.12,22.0,"[10, 12)"
nacho cheese tortilla chip,CHEESE SEMIHARD,0.8446102,8.65,22.0,"[8, 10)"
lamb neck,LAMB WITH BONE,0.8557602,18.01,22.0,"[18, 20)"
lamb kidney,LAMB WITH BONE,0.8596168,18.01,22.0,"[18, 20)"
beef meat,BEEF WITH BONE,0.916417,19.54,22.0,"[18, 20)"
cannelloni tube,PECORINO,0.82412183,18.85,22.0,"[18, 20)"
garlic sausage,PORK SAUSAGE,0.8364396,17.94,22.0,"[16, 18)"
albacore tuna water,TUNA,0.844787,4.68,22.0,"[4, 6)"
stir fry beef,BEEF WITH BONE,0.82219636,19.54,22.0,"[18, 20)"
lamb rib chop,LAMB WITH BONE,0.83792543,18.01,22.0,"[18, 20)"
loin lamb,LAMB WITH BONE,0.82034963,18.01,22.0,"[18, 20)"
nacho cheese soup,CHEESE SEMIHARD,0.8570691,8.65,22.0,"[8, 10)"
beef tip steak,BEEF WITH BONE,0.9111115,19.54,22.0,"[18, 20)"
wheel brie cheese,CHEESE SEMIHARD,0.8620595,8.65,20.0,"[8, 10)"
biscotti,PECORINO,0.8280263,18.85,20.0,"[18, 20)"
pork sauce,PORK SAUSAGE,0.9112817,17.94,20.0,"[16, 18)"
cheese curd,CHEESE SEMIHARD,0.91125876,8.65,20.0,"[8, 10)"
taco meat,BEEF WITH BONE,0.8119909,19.54,20.0,"[18, 20)"
pork liver,PORK NECK,0.94309074,4.03,20.0,"[4, 6)"
parmesan romano cheese mix,CHEESE SEMIHARD,0.88340473,8.65,20.0,"[8, 10)"
creamy goat cheese,GOAT CHEESE,0.8531877,8.18,20.0,"[8, 10)"
live lobster,LOBSTER,0.9034078,19.3,20.0,"[18, 20)"
kraft parmesan cheese,CHEESE SEMIHARD,0.8884513,8.65,20.0,"[8, 10)"
kefalotiri,HAKE,0.8243137,10.12,20.0,"[10, 12)"
macaroni cheese mix,CHEESE SEMIHARD,0.8439512,8.65,20.0,"[8, 10)"
bean pork,PORK HAM,0.86612374,7.93,20.0,"[6, 8)"
awamori,HAKE,0.8676733,10.12,20.0,"[10, 12)"
crab boil,SHRIMP,0.8311058,11.95,20.0,"[10, 12)"
beef tamale,BEEF WITH BONE,0.88084626,19.54,20.0,"[18, 20)"
beef cap,BEEF WITH BONE,0.8960372,19.54,18.0,"[18, 20)"
beef soup,BEEF WITH BONE,0.8821486,19.54,18.0,"[18, 20)"
shrimp stock,SHRIMP,0.8880019,11.95,18.0,"[10, 12)"
pork meat,PORK NECK,0.92250985,4.03,18.0,"[4, 6)"
beef neck,BEEF WITH BONE,0.9008628,19.54,18.0,"[18, 20)"
moisture part mozzarella cheese,CHEESE SEMIHARD,0.8422212,8.65,18.0,"[8, 10)"
comte cheese,CHEESE,0.88909876,11.87,18.0,"[10, 12)"
creamy butter,BUTTER,0.85159934,9.9,18.0,"[8, 10)"
beef blade roast,BEEF WITH BONE,0.8491333,19.54,18.0,"[18, 20)"
funghi porcini,STRACCHINO,0.8155478,4.92,18.0,"[4, 6)"
deli beef,BEEF WITH BONE,0.85487163,19.54,18.0,"[18, 20)"
escargot,RHOMBUS,0.81728226,8.41,18.0,"[8, 10)"
reblochon cheese,CHEESE,0.8536241,11.87,18.0,"[10, 12)"
emeril,EMMENTAL,0.88431466,8.2,18.0,"[8, 10)"
veal stock beef,BEEF WITH BONE,0.8532062,19.54,18.0,"[18, 20)"
pork broth,PORK SAUSAGE,0.92771316,17.94,18.0,"[16, 18)"
nacho cheese,CHEESE SEMIHARD,0.8750826,8.65,18.0,"[8, 10)"
roast beef gravy,PORK SAUSAGE,0.824119,17.94,18.0,"[16, 18)"
cream whipping,CREAM,0.9118798,5.34,18.0,"[4, 6)"
turkey ham,PORK HAM,0.85446393,7.93,18.0,"[6, 8)"
jimmy dean sausage,PORK SAUSAGE,0.8174492,17.94,18.0,"[16, 18)"
cream half,CREAM,0.9326753,5.34,18.0,"[4, 6)"
giardiniera,PECORINO,0.8774768,18.85,16.0,"[18, 20)"
hickory bacon,BACON,0.874079,4.03,16.0,"[4, 6)"
lamb leg steak,BEEF WITH BONE,0.8289771,19.54,16.0,"[18, 20)"
caerphilly cheese,CHEESE,0.83719695,11.87,16.0,"[10, 12)"
panettone,PECORINO,0.87750393,18.85,16.0,"[18, 20)"
raclette cheese,CHEESE SEMIHARD,0.89764476,8.65,16.0,"[8, 10)"
umeboshi,HAKE,0.84834373,10.12,16.0,"[10, 12)"
fatty bacon,BACON,0.83581424,4.03,16.0,"[4, 6)"
grana padano,GRANA PADANO,0.99999994,14.27,16.0,"[14, 16)"
beef rib eye roast,BEEF WITH BONE,0.85453486,19.54,16.0,"[18, 20)"
prosecco,PECORINO,0.90026915,18.85,16.0,"[18, 20)"
cream cheese chive,CHEESE SEMIHARD,0.83044004,8.65,16.0,"[8, 10)"
beef ravioli,BEEF WITH BONE,0.828594,19.54,16.0,"[18, 20)"
mirepoix,CAMEMBERT,0.83331364,7.55,16.0,"[6, 8)"
maple bacon,BACON,0.8267099,4.03,16.0,"[4, 6)"
dukkah,HAKE,0.88860345,10.12,16.0,"[10, 12)"
beef sirloin tip,BEEF WITH BONE,0.866376,19.54,16.0,"[18, 20)"
pork stock,PORK NECK,0.894882,4.03,16.0,"[4, 6)"
fromage frais,CAMEMBERT,0.86285305,7.55,16.0,"[6, 8)"
culantro,CAMEMBERT,0.86419106,7.55,16.0,"[6, 8)"
beef stock vegetable,BEEF WITH BONE,0.8632256,19.54,16.0,"[18, 20)"
queso fresco cheese,CHEESE SEMIHARD,0.82171863,8.65,16.0,"[8, 10)"
wrapper,PLAICE,0.8330523,6.13,16.0,"[6, 8)"
pita,HAKE,0.8495191,10.12,16.0,"[10, 12)"
pork sausage casing,PORK SAUSAGE,0.9761756,17.94,14.0,"[16, 18)"
bay shrimp,SHRIMP,0.907464,11.95,14.0,"[10, 12)"
chocolate powder,CHOCOLATE,0.9146192,6.6,14.0,"[6, 8)"
cheshire cheese,CHEESE,0.8294306,11.87,14.0,"[10, 12)"
mozzarella string cheese,CHEESE SEMIHARD,0.83413154,8.65,14.0,"[8, 10)"
beef burger,BEEF WITH BONE,0.8859963,19.54,14.0,"[18, 20)"
beef stock consomme,BEEF WITH BONE,0.8488959,19.54,14.0,"[18, 20)"
water tuna,TUNA,0.9124483,4.68,14.0,"[4, 6)"
rapini,HAKE,0.82857764,10.12,14.0,"[10, 12)"
sole,SOLE,1.0,5.4,14.0,"[4, 6)"
mahi,HAKE,0.872195,10.12,14.0,"[10, 12)"
oil butter,BUTTER,0.8475892,9.9,14.0,"[8, 10)"
okra pod,EMMENTAL,0.82608837,8.2,14.0,"[8, 10)"
cheddar monterey cheese,CHEESE SEMIHARD,0.8314957,8.65,14.0,"[8, 10)"
beef consomme soup,BEEF WITH BONE,0.8367929,19.54,14.0,"[18, 20)"
beef stock bouillon,BEEF WITH BONE,0.85300004,19.54,14.0,"[18, 20)"
locatelli cheese,CHEESE,0.8574847,11.87,14.0,"[10, 12)"
pork skin,PORK NECK,0.9649284,4.03,14.0,"[4, 6)"
butter shortening,BUTTER,0.8258376,9.9,14.0,"[8, 10)"
ham shank,PORK HAM,0.8250616,7.93,14.0,"[6, 8)"
sausage casing,PORK SAUSAGE,0.878897,17.94,14.0,"[16, 18)"
pork butt shoulder,PORK NECK,0.9376698,4.03,14.0,"[4, 6)"
pork shoulder butt,PORK NECK,0.94954324,4.03,14.0,"[4, 6)"
beef rib eye steak,BEEF WITH BONE,0.89638674,19.54,14.0,"[18, 20)"
meat pork,PORK NECK,0.9095845,4.03,12.0,"[4, 6)"
oxo beef cube,BEEF WITH BONE,0.8300647,19.54,12.0,"[18, 20)"
beef tenderloin roast,PORK SAUSAGE,0.83143437,17.94,12.0,"[16, 18)"
vanilla frosting,VANILLA,0.8120193,4.3,12.0,"[4, 6)"
bratwurst sausage,PORK SAUSAGE,0.84966296,17.94,12.0,"[16, 18)"
kalonji,HAKE,0.8153622,10.12,12.0,"[10, 12)"
pork fatback,PORK NECK,0.9152863,4.03,12.0,"[4, 6)"
hake fillet,HAKE,0.86333096,10.12,12.0,"[10, 12)"
center bacon,BACON,0.93606293,4.03,12.0,"[4, 6)"
butter bud,BUTTER,0.87576085,9.9,12.0,"[8, 10)"
meatloaf mix beef,BEEF WITH BONE,0.8613869,19.54,12.0,"[18, 20)"
rack baby back pork rib,PORK SAUSAGE,0.82060784,17.94,12.0,"[16, 18)"
beef gravy mix,BEEF WITH BONE,0.8670852,19.54,12.0,"[18, 20)"
cream topping,CREAM,0.95964897,5.34,12.0,"[4, 6)"
beef jerky,BEEF WITH BONE,0.8636823,19.54,12.0,"[18, 20)"
super,EMMENTAL,0.83293384,8.2,12.0,"[8, 10)"
butter cooky,BUTTER,0.8501401,9.9,12.0,"[8, 10)"
beef schnitzel,BEEF WITH BONE,0.8791016,19.54,12.0,"[18, 20)"
pork knuckle,PORK NECK,0.94467413,4.03,12.0,"[4, 6)"
buddig beef,BEEF WITH BONE,0.8462068,19.54,12.0,"[18, 20)"
pierogi,PECORINO,0.8414492,18.85,12.0,"[18, 20)"
steak meat,BEEF WITH BONE,0.83094037,19.54,12.0,"[18, 20)"
beef rice roni,BEEF WITH BONE,0.8388967,19.54,12.0,"[18, 20)"
steak fillet,BEEF WITH BONE,0.82047486,19.54,12.0,"[18, 20)"
cheese soup,CHEESE SEMIHARD,0.87965703,8.65,12.0,"[8, 10)"
shrimp cracker,SHRIMP,0.84013957,11.95,12.0,"[10, 12)"
ganache,PORBEAGLE,0.8317064,11.44,12.0,"[10, 12)"
ciclon,CAMEMBERT,0.8452369,7.55,12.0,"[6, 8)"
kefalotyri,HAKE,0.8271104,10.12,12.0,"[10, 12)"
yve,EMMENTAL,0.87233305,8.2,12.0,"[8, 10)"
quark cheese,CHEESE,0.9159789,11.87,12.0,"[10, 12)"
chocolate candy,ALMOND CHOCOLATE,0.9123131,4.8,12.0,"[4, 6)"
emmentaler cheese,CHEESE,0.8876554,11.87,12.0,"[10, 12)"
lamb rib,LAMB WITH BONE,0.9010415,18.01,12.0,"[18, 20)"
vegetarian beef strip,BEEF BONE FREE,0.8437506,27.72,12.0,"[26, 28)"
vegan cheddar cheese,CHEESE SEMIHARD,0.8430057,8.65,12.0,"[8, 10)"
smen,HAKE,0.86701554,10.12,12.0,"[10, 12)"
parmesan romano cheese,CHEESE SEMIHARD,0.8633547,8.65,12.0,"[8, 10)"
pork shoulder chop,PORK NECK,0.89662856,4.03,10.0,"[4, 6)"
crostini,STRACCHINO,0.891748,4.92,10.0,"[4, 6)"
beef skirt steak,BEEF WITH BONE,0.86170644,19.54,10.0,"[18, 20)"
rack pork sparerib,PORK HAM,0.8541938,7.93,10.0,"[6, 8)"
cheesecake,CHEESE SEMIHARD,0.8531795,8.65,10.0,"[8, 10)"
scamorza cheese,CHEESE SEMIHARD,0.85952556,8.65,10.0,"[8, 10)"
parmesan asiago romano cheese,CHEESE SEMIHARD,0.84092575,8.65,10.0,"[8, 10)"
appenzeller cheese,CHEESE SEMIHARD,0.8215556,8.65,10.0,"[8, 10)"
beef kidney,BEEF WITH BONE,0.9064247,19.54,10.0,"[18, 20)"
pork medallion,PORK NECK,0.9451657,4.03,10.0,"[4, 6)"
chevre cheese goat,GOAT CHEESE,0.932959,8.18,10.0,"[8, 10)"
garlic herb goat cheese,GOAT CHEESE,0.86594903,8.18,10.0,"[8, 10)"
tostitos,CAMEMBERT,0.8504161,7.55,10.0,"[6, 8)"
pork shoulder blade roast,PORK SAUSAGE,0.8679489,17.94,10.0,"[16, 18)"
rock shrimp,ROCK FISH,0.88276637,6.94,10.0,"[6, 8)"
caperberries,PLAICE,0.82399225,6.13,10.0,"[6, 8)"
center pork loin chop,PORK SAUSAGE,0.8978996,17.94,10.0,"[16, 18)"
broccoli cheese soup,CHEESE SEMIHARD,0.8128387,8.65,10.0,"[8, 10)"
char siu pork,PORK NECK,0.88570035,4.03,10.0,"[4, 6)"
campbell fiesta nacho cheese soup,CHEESE SEMIHARD,0.8263563,8.65,10.0,"[8, 10)"
steak spice,BEEF WITH BONE,0.8306934,19.54,10.0,"[18, 20)"
stew meat beef,BEEF WITH BONE,0.88106203,19.54,10.0,"[18, 20)"
pork rib roast,PORK SAUSAGE,0.8918243,17.94,10.0,"[16, 18)"
pork bouillon cube,PORK HAM,0.88413936,7.93,10.0,"[6, 8)"
beef tip roast,PORK SAUSAGE,0.8386771,17.94,10.0,"[16, 18)"
velveeta cheese product,CHEESE SEMIHARD,0.81911814,8.65,10.0,"[8, 10)"
verjuice,CAMEMBERT,0.82516456,7.55,10.0,"[6, 8)"
bisto,HAKE,0.8619261,10.12,10.0,"[10, 12)"
nacho cheese dip,CHEESE SEMIHARD,0.8530014,8.65,10.0,"[8, 10)"
