RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF
pork,PORK NECK,0.9637343,4.03
fish sauce,HAKE FISH STICK,0.8396492,2.14
pea,PEA,0.9999999,0.58
chicken breast half,CHICKEN WITH BONE,0.87138313,3.25
margarine,MARGARINE,1.0,1.43
monterey jack cheese,CHEESE SEMIHARD,0.818584,8.65
gingerroot,GINGER,0.8813709,0.88
chive,MILLET,0.82503307,0.86
onion powder,ONION,0.86456305,0.24
plain yogurt,PLAIN CRACKER,0.84736735,1.24
ketchup,KETCHUP,1.0000002,1.46
dill,WHITING,0.8204256,2.66
orange,ORANGE,0.9999999,0.35
apple,APPLE,0.9999998,0.31
corn tortilla,CORNFLAKES CEREAL,0.8759465,2.64
green bean,GREEN BEAN,0.9999999,0.73
ricotta cheese,CHEESE SEMIHARD,0.8821843,8.65
cabbage,CABBAGE LEAF,0.8500248,0.3
eggplant,EGGPLANT,0.99999976,0.45
peanut oil,PEANUT OIL,0.99999994,2.9
yeast,YEAST LIQUID,0.9366538,0.5
bell pepper,PEPPER,0.84351325,0.58
peanut,PEANUT,0.9999999,0.89
rice vinegar,RICE,0.82387125,2.54
whipping cream,CREAM,0.8703692,5.34
leek,WHITING,0.8467046,2.66
banana,BANANA,1.0000002,0.38
chicken thigh,CHICKEN WITH BONE,0.907408,3.25
caster sugar,CANE SUGAR,0.87913096,0.67
plain flour,BREAD PLAIN,0.8770541,0.97
bread,BREAD WHOLE,0.90631723,0.78
grain rice,RICE,0.8358457,2.54
buttermilk,SOY YOGURT,0.83587015,1.36
garlic salt,GARLIC,0.8938747,0.67
lettuce,LETTUCE,0.9999999,0.4
strawberry,STRAWBERRY,0.99999976,0.68
plum tomato,TOMATO,0.8391998,0.48
chocolate,CHOCOLATE,1.0000002,6.6
chickpea,CHICKPEA,1.0000001,0.67
rom tomato,TOMATO,0.9351766,0.48
cherry tomato,TOMATO PEEL,0.85139513,1.28
confectioner ' sugar,BEET SUGAR,0.8411959,0.89
cooking spray,COOKY,0.81212705,1.5
vegetable broth,VEGETABLE,0.8486829,0.69
mango,MANGO,0.9999999,0.33
pineapple,PINEAPPLE,1.0,0.34
cocoa powder,COCOA CAKE,0.8748765,1.97
yogurt,YOGURT FLAVOUR,0.98048997,2.81
lamb,LAMB WITH BONE,0.814067,18.01
bean,BEAN,1.0000002,0.67
tomato juice,TOMATO PEEL,0.9416157,1.28
spaghetti,PASTA,0.81748295,1.24
beef stock,BEEF WITH BONE,0.8372156,19.54
orange zest,ORANGE,0.93310326,0.35
coriander leaf,CAULIFLOWER,0.86083126,0.32
kalamata olive,OLIVE,0.8716289,0.59
wheat flour,WHOLE WHEAT FLOUR,0.9406936,0.38
beer,BEER IN GLASS,0.9012746,1.03
tomato puree,TOMATO PUREE,1.0,1.17
white wine vinegar,WINE WHITE,0.85269785,0.74
peanut butter,PEANUT BUTTER,1.0,1.15
icing sugar,BEET SUGAR,0.8519264,0.89
olive,OLIVE,1.0000004,0.59
pasta,PASTA,1.0,1.24
basmati rice,RICE,0.88159883,2.54
marjoram,MARGARINE,0.86005247,1.43
bean sprout,BEAN FLOUR,0.82823175,1.32
fennel seed,FENNEL,0.8492049,0.48
broccoli,BROCCOLI,1.0000002,0.67
coriander seed,CAULIFLOWER,0.8535193,0.32
red chilies,RED CHILLI,0.8192043,0.8
vegetable stock,VEGETABLE,0.90461737,0.69
lemongrass,LEMON,0.8321672,0.22
tofu,TOFU,1.0,2.33
chocolate chip,CHOCOLATE,0.9331613,6.6
almond extract,ALMOND PASTE,0.9316984,2.98
green olive,GREEN BEAN,0.84852993,0.73
cottage cheese,CHEESE,0.8321709,11.87
artichoke heart,ARTICHOKE,0.91808456,0.33
apricot,APRICOT,0.99999994,0.36
coffee,COFFEE FILTER,0.92354816,0.6
garbanzo bean,MUNG BEAN FLOUR,0.813588,1.49
self raising flour,MILLET FLOUR,0.849537,1.37
cornmeal,CORN CAN,0.8983307,1.36
cornflour,CORN CAN,0.8988328,1.36
pineapple juice,PINEAPPLE JUICE,1.0,2.78
button mushroom,MUSHROOM,0.88729715,1.78
oat,OAT,1.0000002,0.7
corn kernel,CORN CAN,0.92347264,1.36
kernel corn,CORN CAN,0.9292802,1.36
cashew,CASHEW NUT,0.9425072,1.56
asparagus,ASPARAGUS,1.0,0.97
date,DATE,1.0000002,0.6
dark brown sugar,DARK CHOCOLATE,0.8674958,2.67
cauliflower,CAULIFLOWER,1.0,0.32
green pea,GREEN BEAN,0.9418303,0.73
pepper sauce,PEPPER,0.8366997,0.58
peppercorn,PEPPER,0.83397615,0.58
sausage,PORK SAUSAGE,0.87622166,17.94
bread flour,BREAD WHOLE,0.90594226,0.78
prosciutto,STRACCHINO,0.8411445,4.92
sun tomato,TOMATO,0.8319529,0.48
shiitake mushroom,MUSHROOM,0.8290729,1.78
broccoli floret,BROCCOLI,0.8277677,0.67
cranberry,CRANBERRY,1.0000001,0.9
provolone cheese,CHEESE,0.889644,11.87
apple cider vinegar,APPLE JUICE,0.8749286,2.84
chorizo sausage,PORK SAUSAGE,0.8589908,17.94
confectioner sugar,BEET SUGAR,0.86348504,0.89
bread crumb,BREAD MULTICEREAL,0.8833049,0.7
cocoa,COCOA CAKE,0.8718509,1.97
lime wedge,LIME,0.8842174,0.22
greek yogurt,YOGURT FLAVOUR,0.8739011,2.81
corn syrup,CORN CAN,0.86978245,1.36
lentil,LENTIL,1.0,1.03
raspberry,RASPBERRY,1.0000001,0.63
mirin,QUORN,0.86745995,2.5
currant,CURRANT,0.99999994,0.64
blueberry,BLUEBERRY,0.99999994,0.64
romaine lettuce,LETTUCE,0.94077325,0.4
thyme leaf,CAULIFLOWER,0.8352077,0.32
lime zest,LIME,0.9031285,0.22
salmon fillet,SALMON,0.9129566,3.8
russet potato,POTATO,0.8478285,0.25
beef bouillon cube,BEEF WITH BONE,0.84462965,19.54
tortilla,POMELO,0.8172165,0.51
baby spinach,SPINACH,0.84735644,0.48
penne pasta,PASTA,0.913258,1.24
vegetable,VEGETABLE,1.0,0.69
egg noodle,EGG PASTA,0.9041995,3.19
romano cheese,CHEESE,0.8607501,11.87
salmon,SALMON,1.0,3.8
pork chop,PORK SAUSAGE,0.91786873,17.94
goat cheese,GOAT CHEESE,0.99999964,8.18
tomatillo,STRACCHINO,0.8322325,4.92
cannellini bean,BEAN FLOUR,0.8135727,1.32
beef stew meat,BEEF WITH BONE,0.88692945,19.54
arborio rice,RICE,0.8759639,2.54
stewing beef,BEEF WITH BONE,0.86522883,19.54
pork tenderloin,PORK SAUSAGE,0.90128624,17.94
peach,PEACH,0.9999998,0.43
sake,HONEY,0.8536749,1.74
pita bread,BREAD WHOLE,0.8852273,0.78
pumpkin,PUMPKIN,1.0,0.38
hazelnut,HAZELNUT,1.0,1.07
gruyere cheese,CHEESE,0.8617716,11.87
chicken bouillon cube,CHICKEN WITH BONE,0.8347165,3.25
pistachio,PISTACHIO,1.0000001,1.6
green chili,GREEN BEAN,0.83737874,0.73
tomato soup,TOMATO CHOP,0.9095996,1.41
nut,EMMENTAL,0.8496899,8.2
lemon wedge,LEMON,0.91052914,0.22
rice wine,RICE,0.8223259,2.54
cherry,CHERRY,1.0000002,0.49
ginger root,GINGER,0.89499366,0.88
red capsicum,RED CHILLI,0.89623106,0.8
granny smith apple,APPLE,0.83192766,0.31
celery seed,CELERY,0.89419776,0.32
beef steak,BEEF WITH BONE,0.9168147,19.54
linguine,TANGERIN,0.87023723,0.38
cream tartar,CREAM,0.81209415,5.34
dark chocolate,DARK CHOCOLATE,0.99999976,2.67
butternut squash,PEANUT BUTTER,0.82261395,1.15
english cucumber,CUCUMBER,0.912084,0.32
lettuce leaf,LETTUCE,0.94005454,0.4
pear,PEAR,0.9999999,0.29
radish,RADISH,0.9999999,0.15
pepperoni,ZUCCHINI,0.8279825,0.65
self rising flour,MILLET FLOUR,0.85675704,1.37
vanilla essence,VANILLA,0.9598714,4.3
parsnip,PLAICE,0.8534682,6.13
lemon peel,LEMON,0.8806418,0.22
cake flour,CAKE,0.8957695,2.23
sirloin steak,BEEF WITH BONE,0.8389523,19.54
vanilla ice cream,ICE CREAM,0.88517123,1.02
green cabbage,GREEN BEAN,0.9355428,0.73
fruit,PEAR,0.8131664,0.29
turnip,TURNIP,1.0000002,0.35
beef brisket,BEEF WITH BONE,0.82722,19.54
grape tomato,GRAPE,0.81426215,0.39
sunflower oil,SUNFLOWER OIL,0.9999999,0.99
pie crust,OAT MEAL,0.8146377,1.13
mussel,MUSSEL,1.0,0.94
pancetta,STRACCHINO,0.8822392,4.92
orzo pasta,PASTA,0.92090976,1.24
tomato green chilies,TOMATO PEEL,0.8174167,1.28
spinach leaf,SPINACH,0.8691631,0.48
apple juice,APPLE JUICE,1.0000002,2.84
prawn,PRAWN,0.99999976,11.95
anchovy fillet,ANCHOVY,0.8722919,0.81
corn oil,CORN CAN,0.9221272,1.36
blue cheese,BLUEBERRY,0.8158236,0.64
celery salt,CELERY,0.84922403,0.32
garlic paste,GARLIC,0.92896116,0.67
superfine sugar,BEET SUGAR,0.82494676,0.89
pineapple chunk,PINEAPPLE,0.9243939,0.34
poppy seed,CAULIFLOWER,0.8176913,0.32
rice noodle,RICE MILK,0.8529098,0.8
red lentil,RED CHILLI,0.87754095,0.8
rice flour,SORGHUM FLOUR,0.8739636,1.33
white flour,CRISPBREAD,0.8197943,1.36
ginger paste,GINGER,0.8972186,0.88
pork shoulder,PORK NECK,0.97500384,4.03
vanilla bean,VANILLA,0.8429893,4.3
pork loin,PORK NECK,0.94623685,4.03
chicken bouillon,CHICKEN WITH BONE,0.8653848,3.25
spanish onion,ONION,0.85700434,0.24
serrano pepper,PEPPER,0.84658134,0.58
onion flake,ONION,0.84440017,0.24
chicken wing,CHICKEN WITH BONE,0.8387983,3.25
beef tenderloin,BEEF WITH BONE,0.892209,19.54
soya sauce,SOY MEAL,0.9200009,0.62
tuna,TUNA,0.9999998,4.68
clam,MUSSEL,0.8201004,0.94
mascarpone cheese,CHEESE SEMIHARD,0.8753834,8.65
orange peel,ORANGE,0.881797,0.35
applesauce,APPLE,0.887081,0.31
red cabbage,RED CHILLI,0.8454789,0.8
coconut cream,COCONUT MILK,0.90191317,0.41
beef roast,BEEF WITH BONE,0.84781957,19.54
fennel bulb,FENNEL,0.81457055,0.48
fig,FIG,1.0,0.31
okra,EMMENTAL,0.87267566,8.2
lemon pepper,LEMON,0.84689224,0.22
leg lamb,LAMB WITH BONE,0.8360853,18.01
red curry paste,RED CHILLI,0.82271016,0.8
palm sugar,BEET SUGAR,0.8369593,0.89
lard,OAT,0.82658166,0.7
cremini mushroom,MUSHROOM,0.84937,1.78
double cream,CREAM,0.8210294,5.34
pimiento,QUINOA,0.8499862,0.96
portabella mushroom,MUSHROOM,0.8646518,1.78
poblano pepper,PEPPER,0.8596091,0.58
kale,HAKE,0.89193034,10.12
quinoa,QUINOA,0.9999995,0.96
head cabbage,CABBAGE LEAF,0.82357776,0.3
dill pickle,SPINACH,0.818645,0.48
sun tomato oil,TOMATO PEEL,0.86271507,1.28
wonton wrapper,QUORN,0.8461095,2.5
veal,LENTIL,0.84175134,1.03
pasta sauce,PASTA,0.8897003,1.24
creamy peanut butter,PEANUT BUTTER,0.9144614,1.15
fettuccine,ZUCCHINI,0.8281278,0.65
pecorino romano cheese,CHEESE SEMIHARD,0.8288611,8.65
sirloin,CAMEMBERT,0.8162628,7.55
chicken bouillon granule,CHICKEN WITH BONE,0.8349805,3.25
beef bouillon,BEEF WITH BONE,0.8832902,19.54
roast beef,PORK SAUSAGE,0.8447578,17.94
arugula,TANGERIN,0.8502383,0.38
pork sausage,PORK SAUSAGE,1.0000002,17.94
panko breadcrumb,BREAD WHOLE,0.86772203,0.78
beef chuck,BEEF WITH BONE,0.87685955,19.54
green chile,GREEN BEAN,0.8101787,0.73
topping,EMMENTAL,0.85453844,8.2
fine breadcrumb,CRISPBREAD,0.8247201,1.36
sunflower seed,SUNFLOWER SEED,1.0,1.16
roasting chicken,CHICKEN WITH BONE,0.81087387,3.25
beef chuck roast,PORK SAUSAGE,0.82349145,17.94
watercress,WATER,0.85938275,0.49
tamarind paste,LETTUCE,0.8305837,0.4
oatmeal,OAT MEAL,0.9162043,1.13
vegetable shortening,VEGETABLE,0.8697504,0.69
coconut oil,COCONUT,0.90416694,1.78
scallop,OAT,0.83037084,0.7
part mozzarella cheese,CHEESE SEMIHARD,0.8528972,8.65
velveeta cheese,CHEESE,0.8597655,11.87
macaroni,ZUCCHINI,0.8132176,0.65
nori,SOLE,0.8195253,5.4
rigatoni pasta,PASTA,0.8389934,1.24
fennel,FENNEL,1.0,0.48
wine,WINE WHITE,0.8188431,0.74
penne,MILLET,0.8623574,0.86
tart apple,APPLE,0.8515256,0.31
asiago cheese,CHEESE,0.8247375,11.87
lemon juice zest,LEMON,0.8268651,0.22
chicken leg,CHICKEN WITH BONE,0.88236445,3.25
wheat bread,WHOLE WHEAT FLOUR,0.8771224,0.38
harissa,QUORN,0.810628,2.5
apple cider,APPLE JUICE,0.9142214,2.84
cauliflower floret,CAULIFLOWER,0.91634476,0.32
vermouth,CAMEMBERT,0.85817575,7.55
cashew nut,CASHEW NUT,1.0000002,1.56
apricot jam,APRICOT,0.942441,0.36
anchovy,ANCHOVY,1.0000007,0.81
asparagus spear,ASPARAGUS,0.9256271,0.97
barley,BARLEY,1.0,0.53
splenda sugar substitute,BEET SUGAR,0.8271108,0.89
colby monterey jack cheese,CHEESE SEMIHARD,0.83698404,8.65
vidalia onion,ONION,0.864637,0.24
plantain,CAULIFLOWER,0.83208823,0.32
macadamia nut,CASHEW NUT,0.8580941,1.56
red chili,RED CHILLI,0.81944585,0.8
orange marmalade,ORANGE JUICE,0.81513107,0.62
olive oil cooking spray,OLIVE OIL,0.83228093,3.84
watermelon,WATERMELON,1.0000001,0.52
rotini pasta,PASTA,0.88110095,1.24
beef sirloin steak,BEEF WITH BONE,0.88580656,19.54
beef rib,BEEF WITH BONE,0.93350816,19.54
raspberry jam,CRANBERRY JUICE,0.9140376,2.88
noodle,OAT,0.83228195,0.7
pepperoncini pepper,PEPPER,0.89325327,0.58
egg substitute,EGG,0.9057281,3.23
rhubarb,RADISH,0.87206525,0.15
kiwi fruit,KIWI JUICE,0.83705175,2.84
lamb shoulder,LAMB WITH BONE,0.8536289,18.01
soymilk,SOY MEAL,0.9179331,0.62
onion salt,ONION,0.8727289,0.24
crouton,QUORN,0.9052721,2.5
fish fillet,FISH STICK,0.90887433,2.26
porcini mushroom,MUSHROOM,0.8846288,1.78
beef sirloin,BEEF WITH BONE,0.86837924,19.54
mango chutney,MANGO JUICE,0.8478035,2.96
vanilla sugar,VANILLA,0.86504686,4.3
chicken drumstick,CHICKEN WITH BONE,0.8348168,3.25
extra tofu,TOFU,0.82594204,2.33
wheat tortilla,WHOLE WHEAT FLOUR,0.86481965,0.38
ginger powder,GINGER,0.87745225,0.88
orange liqueur,ORANGE JUICE,0.8293409,0.62
wide egg noodle,EGG PASTA,0.8166809,3.19
green cardamom pod,GREEN BEAN,0.8515047,0.73
pistachio nut,PISTACHIO,0.9639236,1.6
green cardamom,GREEN BEAN,0.8334955,0.73
corn flake,CORN CAN,0.919834,1.36
fontina cheese,CHEESE,0.8932606,11.87
rye flour,MILLET FLOUR,0.8208262,1.37
cooking oat,OAT MEAL,0.8985166,1.13
tomato ketchup,TOMATO CHOP,0.89547104,1.41
pumpkin puree,PUMPKIN,0.9141644,0.38
green curry paste,GREEN BEAN,0.8250164,0.73
orange juice concentrate,ORANGE JUICE,0.9750494,0.62
sea scallop,SEABASS,0.8126718,3.59
blackberry,BLACKBERRY,0.99999964,0.42
beef bouillon granule,BEEF WITH BONE,0.84179395,19.54
apricot preserve,APRICOT,0.93311304,0.36
ziti pasta,PASTA,0.9008726,1.24
shell pasta,PASTA,0.8726653,1.24
graham cracker crumb,WHOLEGRAIN CRACKER,0.8900071,0.99
celery leaf,CELERY,0.8323922,0.32
part ricotta cheese,CHEESE SEMIHARD,0.8735906,8.65
miso,QUINOA,0.8315148,0.96
beef consomme,BEEF WITH BONE,0.889212,19.54
chocolate syrup,CHOCOLATE CREAM COOKY,0.9254954,1.69
sugar snap pea,CRANBERRY JUICE,0.8259922,2.88
cotija cheese,CHEESE,0.8833792,11.87
green food coloring,GREEN BEAN IN CAN,0.850923,1.45
plum,PLUM,1.0000002,0.27
wheat germ,WHEAT,0.9268848,0.67
rotel,PESTO,0.8314707,2.71
daikon radish,RADISH,0.8165604,0.15
vermicelli,PECORINO,0.811509,18.85
baby corn,CORN CAN,0.8985697,1.36
turkey breast,TURKEY WITH BONE,0.85641456,2.08
cooking apple,APPLE JUICE,0.82180786,2.84
cream corn,CORNFLAKES CEREAL,0.8663186,2.64
chicken liver,CHICKEN WITH BONE,0.8885206,3.25
cranberry juice,CRANBERRY JUICE,1.0000004,2.88
squid,SQUID,1.0,7.51
artichoke,ARTICHOKE,1.0000001,0.33
chicken stock cube,CHICKEN WITH BONE,0.82576823,3.25
salt pork,PORK HAM,0.880602,7.93
green lentil,GREEN BEAN,0.9269419,0.73
pumpkin seed,PUMPKIN,0.8950873,0.38
farfalle pasta,PASTA,0.9272563,1.24
chicken breast fillet,CHICKEN WITH BONE,0.8869497,3.25
rotel tomato,TOMATO,0.9414444,0.48
fish,FISH STICK,0.95099914,2.26
potato starch,POTATO,0.8141838,0.25
cod fish fillet,COD FISH STICK,0.9444287,2.14
white rum,WINE WHITE,0.8410637,0.74
green capsicum,GREEN BEAN,0.9077555,0.73
fish stock,FISH STICK,0.87192136,2.26
lamb shank,LAMB WITH BONE,0.88446283,18.01
pork loin chop,PORK SAUSAGE,0.91458046,17.94
corn chip,CORN CAN,0.9158672,1.36
cod,COD,1.0000002,3.29
brie cheese,CHEESE,0.9041405,11.87
chicken stock vegetable,CHICKEN WITH BONE,0.85904217,3.25
gruyere,CAMEMBERT,0.840916,7.55
chicken meat,CHICKEN WITH BONE,0.9019276,3.25
mandarin orange,MANDARIN,0.86817765,0.4
chickpea flour,SORGHUM FLOUR,0.8370173,1.33
pork rib,PORK HAM,0.9222701,7.93
gouda cheese,CHEESE,0.89857674,11.87
bacon dripping,BACON,0.9263556,4.03
cheese tortellini,CHEESE SEMIHARD,0.8783616,8.65
vanilla pudding mix,CHOCOLATE CREAM COOKY,0.8451151,1.69
sumac,EMMENTAL,0.8257087,8.2
jumbo shrimp,SHRIMP,0.8470986,11.95
milk ricotta cheese,YOGURT WHITE,0.8462546,2.1
corn tortilla chip,CORNFLAKES CEREAL,0.8807567,2.64
head cauliflower,CAULIFLOWER,0.9540399,0.32
almond paste,ALMOND PASTE,0.9999999,2.98
deli ham,BACON,0.84168005,4.03
beef gravy,BEEF WITH BONE,0.8963904,19.54
shrimp paste,SHRIMP,0.91197246,11.95
fava bean,BEAN FLOUR,0.84226084,1.32
lamb chop,LAMB WITH BONE,0.84807116,18.01
manchego cheese,CHEESE SEMIHARD,0.86617714,8.65
pepper flake,PEPPER,0.8727977,0.58
coffee granule,COFFEE FILTER,0.9288317,0.6
filet beef,BEEF WITH BONE,0.88229823,19.54
pasta shell,PASTA,0.9041541,1.24
curd cottage cheese,CHEESE SEMIHARD,0.88214266,8.65
semolina flour,SORGHUM FLOUR,0.8865248,1.33
chick pea,CHICKPEA,0.83431387,0.67
head garlic,GARLIC,0.92945504,0.67
panir,HAKE,0.8599316,10.12
grape,GRAPE,0.9999999,0.39
espresso,ESPRESSO,1.0000002,0.55
mix,HAKE,0.81359994,10.12
lemon extract,LEMON,0.88186836,0.22
pork loin roast,PORK SAUSAGE,0.8942501,17.94
liquid honey,HONEY,0.81768405,1.74
aubergine,CAMEMBERT,0.82857955,7.55
beef tenderloin steak,BEEF WITH BONE,0.8972263,19.54
courgette,CAMEMBERT,0.8872494,7.55
pork butt,PORK NECK,0.95926964,4.03
vanilla yogurt,YOGURT FLAVOUR,0.9150255,2.81
vegetable juice,VEGETABLE,0.8829404,0.69
anchovy paste,ANCHOVY,0.8548503,0.81
pimento olive,OLIVE,0.8880588,0.59
deli roast beef,BEEF WITH BONE,0.8138985,19.54
red bean,RED CHILLI,0.83461475,0.8
milk chocolate,MILK CHOCOLATE,1.0000002,3.6
hoagie,HAKE,0.903373,10.12
plain nonfat yogurt,PLAIN CRACKER,0.84224117,1.24
limeade concentrate,LIME,0.89936376,0.22
pork roast,PORK SAUSAGE,0.9074663,17.94
green tomato,GREEN BEAN,0.9027816,0.73
biscuit,KETCHUP,0.8400824,1.46
green apple,GREEN BEAN,0.89047647,0.73
red grape,WINE RED,0.83681804,1.02
ha avocadoes,AVOCADO,0.93312883,0.54
egg wrap,EGG,0.88211423,3.23
cinnamon sugar,HAZELNUT CREAM,0.8269728,2.71
romaine lettuce leaf,LETTUCE,0.8918339,0.4
coffee liqueur,COFFEE FILTER,0.9077256,0.6
streaky bacon,BACON,0.9050685,4.03
white chocolate chip,HAZELNUT CHOCOLATE,0.85182697,3.43
lite olive oil,OLIVE OIL,0.9583465,3.84
chunky peanut butter,PEANUT BUTTER,0.8971864,1.15
bacon bit,BACON,0.9781606,4.03
glace cherry,CHERRY,0.8488124,0.49
demerara sugar,CANE SUGAR,0.8175864,0.67
graham cracker,WHOLEGRAIN CRACKER,0.8545909,0.99
butter bean,BEAN FLOUR,0.8161737,1.32
walnut half,WALNUT,0.93372995,1.75
pork sparerib,PORK HAM,0.9078298,7.93
espresso powder,ESPRESSO,0.9337803,0.55
escarole,CAMEMBERT,0.84578645,7.55
banana pepper,BANANA,0.8819846,0.38
pecorino cheese,CHEESE SEMIHARD,0.85510373,8.65
grape leaf,GRAPE,0.92276096,0.39
manicotti,PECORINO,0.8389819,18.85
andouille sausage,PORK SAUSAGE,0.82242846,17.94
baking chocolate,CHOCOLATE CREAM COOKY,0.88632697,1.69
pimento,PLAICE,0.8421587,6.13
beef mince,BEEF WITH BONE,0.8940341,19.54
tamarind juice,LETTUCE,0.8329656,0.4
ice cream,ICE CREAM,1.0000002,1.02
pickling spice,CASHEW NUT,0.8247724,1.56
strawberry jam,STRAWBERRY JUICE,0.9479626,2.68
saltine cracker,FLAVOR CRACKER,0.86859787,1.01
tuna water,TUNA,0.9284379,4.68
ciabatta,STRACCHINO,0.8270249,4.92
syrup,CREAM,0.82515395,5.34
wheat pita bread,WHOLE WHEAT FLOUR,0.8938477,0.38
lebanese cucumber,CUCUMBER,0.8677103,0.32
beetroot,BEETROOT,0.9999999,0.25
orange blossom water,ORANGE JUICE,0.8290014,0.62
almond milk,ALMOND MILK,0.99999976,0.42
mascarpone,MASCARPONE,1.0,5.7
broiler fryer chicken,CHICKEN WITH BONE,0.8625921,3.25
pomegranate seed,POMEGRANATE,0.9326236,0.45
kiwi,KIWI,0.9999999,0.65
kirsch,CAMEMBERT,0.854311,7.55
gherkin,GHERKIN,1.0000005,0.23
grapefruit juice,CRANBERRY JUICE,0.84825754,2.88
burrito flour tortilla,SORGHUM FLOUR,0.8202486,1.33
chicken tender,CHICKEN WITH BONE,0.8477581,3.25
walnut oil,WALNUT,0.8922337,1.75
peanut oil vegetable,PEANUT OIL,0.88648784,2.9
lemonade,LEMON,0.8433029,0.22
orange juice zest,ORANGE JUICE,0.9663342,0.62
coconut extract,COCONUT,0.90965337,1.78
mango powder,MANGO JUICE,0.932346,2.96
chicken breast meat,CHICKEN WITH BONE,0.91339755,3.25
coconut flake,COCONUT,0.88780326,1.78
rotel tomato chilies,TOMATO CHOP,0.83912313,1.41
bacon grease,BACON,0.9473374,4.03
tamari soy sauce,SOY CREAM,0.9021554,1.62
fenugreek,GHERKIN,0.82382905,0.23
pearl onion,ONION,0.82490534,0.24
rice paper,RICE,0.91534907,2.54
edamame,HAKE,0.83145034,10.12
string bean,BEAN,0.8345652,0.67
pomegranate juice,POMEGRANATE,0.91925687,0.45
navel orange,ORANGE,0.8283064,0.35
green grape,GREEN BEAN,0.8878231,0.73
sesame seed oil,SESAME SEED,0.94888914,0.88
