FOOD COMMODITY ITEM updated,mean
SOYBEAN,0.6
MUSHROOM,1.78
ALMOND,1.9
CASHEW NUT,1.56
CHESTNUT,0.64
HAZELNUT,1.07
MIXED NUT,0.47
PALM NUT,0.8
PEANUT,0.89
PISTACHIO,1.6
WALNUT,1.75
RICE,2.54
RAPE SEED,1.05
SESAME SEED,0.88
SUNFLOWER SEED,1.16
RED CHILLI,0.8
GINGER,0.88
POTATO,0.25
STARCHY ROOT,0.29
SWEET POTATO,0.35
ASPARAGUS,0.97
CABBAGE LEAF,0.3
LETTUCE,0.4
SPINACH,0.48
BEETROOT,0.25
CARROT,0.23
GARLIC,0.67
ONION,0.24
RADISH,0.15
SWEDE,0.29
TURNIP,0.35
ARTICHOKE,0.33
BROCCOLI,0.67
CAULIFLOWER,0.32
CELERY,0.32
CUCUMBER,0.32
EGGPLANT,0.45
FENNEL,0.48
GHERKIN,0.23
PEPPER,0.58
PUMPKIN,0.38
TOMATO,0.48
VEGETABLE,0.69
ZUCCHINI,0.65
ALFONSINO,3.49
ANCHOVY,0.81
ANGLERFISH,12.29
CARP,1.8
CATFISH,8.93
COD,3.29
DIAMOND FISH,7.56
EEL,3.88
FISH MIXED,4.01
FLATFISH,6.41
FLATHEAD,2.45
FORK BEARD,8.01
HADDOCK,3.25
HAKE,10.12
HERRING,2.21
LING,6.45
MACKEREL,2.05
MEGRIM,14.15
PLAICE,6.13
POLLOCK,1.4
POMFRET,6.63
PORBEAGLE,11.44
RHOMBUS,8.41
ROCK FISH,6.94
SALMON,3.8
SARDINE,0.9
SEABASS,3.59
SHARK,10.09
SOLE,5.4
SWARDFISH,12.84
TROUT,3.65
TUNA,4.68
TURBOT,14.51
WHITING,2.66
COD FROZEN,3.09
FISH STICK,2.26
HADDOCK FROZEN,3.72
HERRING FROZEN,1.31
MACKEREL FROZEN,1.11
MIXED FISH FROZEN,1.04
POLLOCK FROZEN,0.9
POLLOCK STICK,2.14
SALMON FROZEN,1.99
SOLE FROZEN,14.28
TROUT FROZEN,4.38
TUNA FROZEN,2.66
COD FISH STICK,2.14
HAKE FISH STICK,2.14
MAKEREL FISH STICK,1.02
TUNA IN CAN,2.0
BARNACLE,4.32
KRILL,5.54
LOBSTER,19.3
MUSSEL,0.94
CUTTLEFISH,5.05
OCTOPUS,5.8
SQUID,7.51
PRAWN,11.95
SHRIMP,11.95
OCTOPUS FROZEN,7.88
SHRIMP FROZEN,17.73
PRAWN FROZEN,17.73
