Unnamed: 0,RecipeDB Ingredient,Sueatable Ingredient,Similarity
199,tomato juice,TOMATO PEEL,0.9416157
200,spaghetti,PASTA,0.81748295
201,beef stock,BEEF WITH BONE,0.8372156
206,orange zest,ORANGE,0.93310326
211,coriander leaf,CAULIFLOWER,0.86083126
212,kalamata olive,OLIVE,0.8716289
214,wheat flour,WHOLE WHEAT FLOUR,0.9406936
215,beer,BEER IN GLASS,0.9012746
216,tomato puree,TOMATO PUREE,1.0
218,white wine vinegar,WINE WHITE,0.85269785
219,peanut butter,PEANUT BUTTER,1.0
220,icing sugar,BEET SUGAR,0.8519264
221,olive,OLIVE,1.0000004
224,pasta,PASTA,1.0
226,basmati rice,RICE,0.88159883
227,marjoram,MARGARINE,0.86005247
229,bean sprout,BEAN FLOUR,0.82823175
230,fennel seed,FENNEL,0.8492049
231,broccoli,BROCCOLI,1.0000002
232,coriander seed,CAULIFLOWER,0.8535193
233,red chilies,RED CHILLI,0.8192043
234,vegetable stock,VEGETABLE,0.90461737
237,lemongrass,LEMON,0.8321672
238,tofu,TOFU,1.0
241,chocolate chip,CHOCOLATE,0.9331613
244,almond extract,ALMOND PASTE,0.9316984
245,green olive,GREEN BEAN,0.84852993
246,cottage cheese,CHEESE,0.8321709
252,artichoke heart,ARTICHOKE,0.91808456
253,apricot,APRICOT,0.99999994
254,coffee,COFFEE FILTER,0.92354816
257,garbanzo bean,MUNG BEAN FLOUR,0.813588
258,self raising flour,MILLET FLOUR,0.849537
260,cornmeal,CORN CAN,0.8983307
262,cornflour,CORN CAN,0.8988328
263,pineapple juice,PINEAPPLE JUICE,1.0
265,button mushroom,MUSHROOM,0.88729715
269,oat,OAT,1.0000002
270,corn kernel,CORN CAN,0.92347264
272,kernel corn,CORN CAN,0.9292802
277,cashew,CASHEW NUT,0.9425072
278,asparagus,ASPARAGUS,1.0
280,date,DATE,1.0000002
284,dark brown sugar,DARK CHOCOLATE,0.8674958
285,cauliflower,CAULIFLOWER,1.0
286,green pea,GREEN BEAN,0.9418303
287,pepper sauce,PEPPER,0.8366997
289,peppercorn,PEPPER,0.83397615
290,sausage,PORK SAUSAGE,0.87622166
291,bread flour,BREAD WHOLE,0.90594226
296,prosciutto,STRACCHINO,0.8411445
301,sun tomato,TOMATO,0.8319529
302,shiitake mushroom,MUSHROOM,0.8290729
303,broccoli floret,BROCCOLI,0.8277677
304,cranberry,CRANBERRY,1.0000001
305,provolone cheese,CHEESE,0.889644
307,apple cider vinegar,APPLE JUICE,0.8749286
309,chorizo sausage,PORK SAUSAGE,0.8589908
312,confectioner sugar,BEET SUGAR,0.86348504
313,bread crumb,BREAD MULTICEREAL,0.8833049
316,cocoa,COCOA CAKE,0.8718509
317,lime wedge,LIME,0.8842174
318,greek yogurt,YOGURT FLAVOUR,0.8739011
320,corn syrup,CORN CAN,0.86978245
321,lentil,LENTIL,1.0
322,raspberry,RASPBERRY,1.0000001
323,mirin,QUORN,0.86745995
324,currant,CURRANT,0.99999994
325,blueberry,BLUEBERRY,0.99999994
326,romaine lettuce,LETTUCE,0.94077325
328,thyme leaf,CAULIFLOWER,0.8352077
330,lime zest,LIME,0.9031285
332,salmon fillet,SALMON,0.9129566
334,russet potato,POTATO,0.8478285
335,beef bouillon cube,BEEF WITH BONE,0.84462965
336,tortilla,POMELO,0.8172165
337,baby spinach,SPINACH,0.84735644
338,penne pasta,PASTA,0.913258
341,vegetable,VEGETABLE,1.0
342,egg noodle,EGG PASTA,0.9041995
344,romano cheese,CHEESE,0.8607501
346,salmon,SALMON,1.0
347,pork chop,PORK SAUSAGE,0.91786873
348,goat cheese,GOAT CHEESE,0.99999964
349,tomatillo,STRACCHINO,0.8322325
350,cannellini bean,BEAN FLOUR,0.8135727
351,beef stew meat,BEEF WITH BONE,0.88692945
358,arborio rice,RICE,0.8759639
359,stewing beef,BEEF WITH BONE,0.86522883
360,pork tenderloin,PORK SAUSAGE,0.90128624
361,peach,PEACH,0.9999998
362,sake,HONEY,0.8536749
363,pita bread,BREAD WHOLE,0.8852273
364,pumpkin,PUMPKIN,1.0
365,hazelnut,HAZELNUT,1.0
367,gruyere cheese,CHEESE,0.8617716
368,chicken bouillon cube,CHICKEN WITH BONE,0.8347165
369,pistachio,PISTACHIO,1.0000001
370,green chili,GREEN BEAN,0.83737874
373,tomato soup,TOMATO CHOP,0.9095996
374,nut,EMMENTAL,0.8496899
375,lemon wedge,LEMON,0.91052914
377,rice wine,RICE,0.8223259
378,cherry,CHERRY,1.0000002
379,ginger root,GINGER,0.89499366
380,red capsicum,RED CHILLI,0.89623106
381,granny smith apple,APPLE,0.83192766
382,celery seed,CELERY,0.89419776
383,beef steak,BEEF WITH BONE,0.9168147
386,linguine,TANGERIN,0.87023723
389,cream tartar,CREAM,0.81209415
390,dark chocolate,DARK CHOCOLATE,0.99999976
395,butternut squash,PEANUT BUTTER,0.82261395
396,english cucumber,CUCUMBER,0.912084
397,lettuce leaf,LETTUCE,0.94005454
398,pear,PEAR,0.9999999
402,radish,RADISH,0.9999999
404,pepperoni,ZUCCHINI,0.8279825
405,self rising flour,MILLET FLOUR,0.85675704
406,vanilla essence,VANILLA,0.9598714
407,parsnip,PLAICE,0.8534682
411,lemon peel,LEMON,0.8806418
412,cake flour,CAKE,0.8957695
413,sirloin steak,BEEF WITH BONE,0.8389523
414,vanilla ice cream,ICE CREAM,0.88517123
415,green cabbage,GREEN BEAN,0.9355428
416,fruit,PEAR,0.8131664
417,turnip,TURNIP,1.0000002
418,beef brisket,BEEF WITH BONE,0.82722
420,grape tomato,GRAPE,0.81426215
421,sunflower oil,SUNFLOWER OIL,0.9999999
422,pie crust,OAT MEAL,0.8146377
423,mussel,MUSSEL,1.0
424,pancetta,STRACCHINO,0.8822392
425,orzo pasta,PASTA,0.92090976
426,tomato green chilies,TOMATO PEEL,0.8174167
429,spinach leaf,SPINACH,0.8691631
430,apple juice,APPLE JUICE,1.0000002
431,prawn,PRAWN,0.99999976
434,anchovy fillet,ANCHOVY,0.8722919
435,corn oil,CORN CAN,0.9221272
438,blue cheese,BLUEBERRY,0.8158236
440,celery salt,CELERY,0.84922403
442,garlic paste,GARLIC,0.92896116
443,superfine sugar,BEET SUGAR,0.82494676
444,pineapple chunk,PINEAPPLE,0.9243939
447,poppy seed,CAULIFLOWER,0.8176913
448,rice noodle,RICE MILK,0.8529098
451,red lentil,RED CHILLI,0.87754095
452,rice flour,SORGHUM FLOUR,0.8739636
453,white flour,CRISPBREAD,0.8197943
456,ginger paste,GINGER,0.8972186
458,pork shoulder,PORK NECK,0.97500384
459,vanilla bean,VANILLA,0.8429893
468,pork loin,PORK NECK,0.94623685
469,chicken bouillon,CHICKEN WITH BONE,0.8653848
471,spanish onion,ONION,0.85700434
472,serrano pepper,PEPPER,0.84658134
474,onion flake,ONION,0.84440017
477,chicken wing,CHICKEN WITH BONE,0.8387983
478,beef tenderloin,BEEF WITH BONE,0.892209
479,soya sauce,SOY MEAL,0.9200009
483,tuna,TUNA,0.9999998
484,clam,MUSSEL,0.8201004
485,mascarpone cheese,CHEESE SEMIHARD,0.8753834
489,orange peel,ORANGE,0.881797
492,applesauce,APPLE,0.887081
494,red cabbage,RED CHILLI,0.8454789
501,coconut cream,COCONUT MILK,0.90191317
502,beef roast,BEEF WITH BONE,0.84781957
503,fennel bulb,FENNEL,0.81457055
504,fig,FIG,1.0
510,okra,EMMENTAL,0.87267566
511,lemon pepper,LEMON,0.84689224
513,leg lamb,LAMB WITH BONE,0.8360853
514,red curry paste,RED CHILLI,0.82271016
518,palm sugar,BEET SUGAR,0.8369593
519,lard,OAT,0.82658166
520,cremini mushroom,MUSHROOM,0.84937
522,double cream,CREAM,0.8210294
525,pimiento,QUINOA,0.8499862
526,portabella mushroom,MUSHROOM,0.8646518
527,poblano pepper,PEPPER,0.8596091
530,kale,HAKE,0.89193034
531,quinoa,QUINOA,0.9999995
535,head cabbage,CABBAGE LEAF,0.82357776
543,dill pickle,SPINACH,0.818645
544,sun tomato oil,TOMATO PEEL,0.86271507
548,wonton wrapper,QUORN,0.8461095
549,veal,LENTIL,0.84175134
550,pasta sauce,PASTA,0.8897003
552,creamy peanut butter,PEANUT BUTTER,0.9144614
553,fettuccine,ZUCCHINI,0.8281278
554,pecorino romano cheese,CHEESE SEMIHARD,0.8288611
555,sirloin,CAMEMBERT,0.8162628
557,chicken bouillon granule,CHICKEN WITH BONE,0.8349805
558,beef bouillon,BEEF WITH BONE,0.8832902
559,roast beef,PORK SAUSAGE,0.8447578
560,arugula,TANGERIN,0.8502383
564,pork sausage,PORK SAUSAGE,1.0000002
565,panko breadcrumb,BREAD WHOLE,0.86772203
566,beef chuck,BEEF WITH BONE,0.87685955
570,green chile,GREEN BEAN,0.8101787
572,topping,EMMENTAL,0.85453844
574,fine breadcrumb,CRISPBREAD,0.8247201
575,sunflower seed,SUNFLOWER SEED,1.0
576,roasting chicken,CHICKEN WITH BONE,0.81087387
578,beef chuck roast,PORK SAUSAGE,0.82349145
581,watercress,WATER,0.85938275
584,tamarind paste,LETTUCE,0.8305837
586,oatmeal,OAT MEAL,0.9162043
587,vegetable shortening,VEGETABLE,0.8697504
588,coconut oil,COCONUT,0.90416694
589,scallop,OAT,0.83037084
593,part mozzarella cheese,CHEESE SEMIHARD,0.8528972
594,velveeta cheese,CHEESE,0.8597655
596,macaroni,ZUCCHINI,0.8132176
597,nori,SOLE,0.8195253
598,rigatoni pasta,PASTA,0.8389934
600,fennel,FENNEL,1.0
601,wine,WINE WHITE,0.8188431
604,penne,MILLET,0.8623574
610,tart apple,APPLE,0.8515256
612,asiago cheese,CHEESE,0.8247375
613,lemon juice zest,LEMON,0.8268651
615,chicken leg,CHICKEN WITH BONE,0.88236445
616,wheat bread,WHOLE WHEAT FLOUR,0.8771224
617,harissa,QUORN,0.810628
618,apple cider,APPLE JUICE,0.9142214
619,cauliflower floret,CAULIFLOWER,0.91634476
621,vermouth,CAMEMBERT,0.85817575
624,cashew nut,CASHEW NUT,1.0000002
626,apricot jam,APRICOT,0.942441
635,anchovy,ANCHOVY,1.0000007
636,asparagus spear,ASPARAGUS,0.9256271
637,barley,BARLEY,1.0
642,splenda sugar substitute,BEET SUGAR,0.8271108
643,colby monterey jack cheese,CHEESE SEMIHARD,0.83698404
644,vidalia onion,ONION,0.864637
645,plantain,CAULIFLOWER,0.83208823
649,macadamia nut,CASHEW NUT,0.8580941
650,red chili,RED CHILLI,0.81944585
651,orange marmalade,ORANGE JUICE,0.81513107
652,olive oil cooking spray,OLIVE OIL,0.83228093
654,watermelon,WATERMELON,1.0000001
659,rotini pasta,PASTA,0.88110095
660,beef sirloin steak,BEEF WITH BONE,0.88580656
662,beef rib,BEEF WITH BONE,0.93350816
663,raspberry jam,CRANBERRY JUICE,0.9140376
664,noodle,OAT,0.83228195
668,pepperoncini pepper,PEPPER,0.89325327
673,egg substitute,EGG,0.9057281
674,rhubarb,RADISH,0.87206525
675,kiwi fruit,KIWI JUICE,0.83705175
676,lamb shoulder,LAMB WITH BONE,0.8536289
677,soymilk,SOY MEAL,0.9179331
680,onion salt,ONION,0.8727289
681,crouton,QUORN,0.9052721
682,fish fillet,FISH STICK,0.90887433
686,porcini mushroom,MUSHROOM,0.8846288
687,beef sirloin,BEEF WITH BONE,0.86837924
692,mango chutney,MANGO JUICE,0.8478035
693,vanilla sugar,VANILLA,0.86504686
696,chicken drumstick,CHICKEN WITH BONE,0.8348168
697,extra tofu,TOFU,0.82594204
698,wheat tortilla,WHOLE WHEAT FLOUR,0.86481965
699,ginger powder,GINGER,0.87745225
700,orange liqueur,ORANGE JUICE,0.8293409
702,wide egg noodle,EGG PASTA,0.8166809
703,green cardamom pod,GREEN BEAN,0.8515047
704,pistachio nut,PISTACHIO,0.9639236
705,green cardamom,GREEN BEAN,0.8334955
706,corn flake,CORN CAN,0.919834
708,fontina cheese,CHEESE,0.8932606
709,rye flour,MILLET FLOUR,0.8208262
711,cooking oat,OAT MEAL,0.8985166
713,tomato ketchup,TOMATO CHOP,0.89547104
716,pumpkin puree,PUMPKIN,0.9141644
718,green curry paste,GREEN BEAN,0.8250164
719,orange juice concentrate,ORANGE JUICE,0.9750494
721,sea scallop,SEABASS,0.8126718
724,blackberry,BLACKBERRY,0.99999964
726,beef bouillon granule,BEEF WITH BONE,0.84179395
727,apricot preserve,APRICOT,0.93311304
728,ziti pasta,PASTA,0.9008726
732,shell pasta,PASTA,0.8726653
734,graham cracker crumb,WHOLEGRAIN CRACKER,0.8900071
735,celery leaf,CELERY,0.8323922
737,part ricotta cheese,CHEESE SEMIHARD,0.8735906
739,miso,QUINOA,0.8315148
740,beef consomme,BEEF WITH BONE,0.889212
742,chocolate syrup,CHOCOLATE CREAM COOKY,0.9254954
743,sugar snap pea,CRANBERRY JUICE,0.8259922
744,cotija cheese,CHEESE,0.8833792
755,green food coloring,GREEN BEAN IN CAN,0.850923
756,plum,PLUM,1.0000002
757,wheat germ,WHEAT,0.9268848
760,rotel,PESTO,0.8314707
762,daikon radish,RADISH,0.8165604
763,vermicelli,PECORINO,0.811509
764,baby corn,CORN CAN,0.8985697
765,turkey breast,TURKEY WITH BONE,0.85641456
766,cooking apple,APPLE JUICE,0.82180786
768,cream corn,CORNFLAKES CEREAL,0.8663186
774,chicken liver,CHICKEN WITH BONE,0.8885206
776,cranberry juice,CRANBERRY JUICE,1.0000004
779,squid,SQUID,1.0
780,artichoke,ARTICHOKE,1.0000001
781,chicken stock cube,CHICKEN WITH BONE,0.82576823
782,salt pork,PORK HAM,0.880602
784,green lentil,GREEN BEAN,0.9269419
785,pumpkin seed,PUMPKIN,0.8950873
791,farfalle pasta,PASTA,0.9272563
792,chicken breast fillet,CHICKEN WITH BONE,0.8869497
794,rotel tomato,TOMATO,0.9414444
795,fish,FISH STICK,0.95099914
798,potato starch,POTATO,0.8141838
803,cod fish fillet,COD FISH STICK,0.9444287
806,white rum,WINE WHITE,0.8410637
810,green capsicum,GREEN BEAN,0.9077555
811,fish stock,FISH STICK,0.87192136
812,lamb shank,LAMB WITH BONE,0.88446283
814,pork loin chop,PORK SAUSAGE,0.91458046
815,corn chip,CORN CAN,0.9158672
817,cod,COD,1.0000002
819,brie cheese,CHEESE,0.9041405
822,chicken stock vegetable,CHICKEN WITH BONE,0.85904217
823,gruyere,CAMEMBERT,0.840916
825,chicken meat,CHICKEN WITH BONE,0.9019276
826,mandarin orange,MANDARIN,0.86817765
828,chickpea flour,SORGHUM FLOUR,0.8370173
831,pork rib,PORK HAM,0.9222701
836,gouda cheese,CHEESE,0.89857674
837,bacon dripping,BACON,0.9263556
841,cheese tortellini,CHEESE SEMIHARD,0.8783616
844,vanilla pudding mix,CHOCOLATE CREAM COOKY,0.8451151
845,sumac,EMMENTAL,0.8257087
848,jumbo shrimp,SHRIMP,0.8470986
850,milk ricotta cheese,YOGURT WHITE,0.8462546
851,corn tortilla chip,CORNFLAKES CEREAL,0.8807567
852,head cauliflower,CAULIFLOWER,0.9540399
858,almond paste,ALMOND PASTE,0.9999999
863,deli ham,BACON,0.84168005
865,beef gravy,BEEF WITH BONE,0.8963904
870,shrimp paste,SHRIMP,0.91197246
871,fava bean,BEAN FLOUR,0.84226084
872,lamb chop,LAMB WITH BONE,0.84807116
874,manchego cheese,CHEESE SEMIHARD,0.86617714
876,pepper flake,PEPPER,0.8727977
878,coffee granule,COFFEE FILTER,0.9288317
879,filet beef,BEEF WITH BONE,0.88229823
880,pasta shell,PASTA,0.9041541
881,curd cottage cheese,CHEESE SEMIHARD,0.88214266
885,semolina flour,SORGHUM FLOUR,0.8865248
886,chick pea,CHICKPEA,0.83431387
888,head garlic,GARLIC,0.92945504
889,panir,HAKE,0.8599316
892,grape,GRAPE,0.9999999
894,espresso,ESPRESSO,1.0000002
895,mix,HAKE,0.81359994
897,lemon extract,LEMON,0.88186836
898,pork loin roast,PORK SAUSAGE,0.8942501
899,liquid honey,HONEY,0.81768405
901,aubergine,CAMEMBERT,0.82857955
902,beef tenderloin steak,BEEF WITH BONE,0.8972263
903,courgette,CAMEMBERT,0.8872494
907,pork butt,PORK NECK,0.95926964
910,vanilla yogurt,YOGURT FLAVOUR,0.9150255
912,vegetable juice,VEGETABLE,0.8829404
913,anchovy paste,ANCHOVY,0.8548503
918,pimento olive,OLIVE,0.8880588
920,deli roast beef,BEEF WITH BONE,0.8138985
922,red bean,RED CHILLI,0.83461475
923,milk chocolate,MILK CHOCOLATE,1.0000002
924,hoagie,HAKE,0.903373
926,plain nonfat yogurt,PLAIN CRACKER,0.84224117
927,limeade concentrate,LIME,0.89936376
928,pork roast,PORK SAUSAGE,0.9074663
931,green tomato,GREEN BEAN,0.9027816
937,biscuit,KETCHUP,0.8400824
941,green apple,GREEN BEAN,0.89047647
942,red grape,WINE RED,0.83681804
943,ha avocadoes,AVOCADO,0.93312883
944,egg wrap,EGG,0.88211423
946,cinnamon sugar,HAZELNUT CREAM,0.8269728
948,romaine lettuce leaf,LETTUCE,0.8918339
953,coffee liqueur,COFFEE FILTER,0.9077256
954,streaky bacon,BACON,0.9050685
955,white chocolate chip,HAZELNUT CHOCOLATE,0.85182697
958,lite olive oil,OLIVE OIL,0.9583465
963,chunky peanut butter,PEANUT BUTTER,0.8971864
965,bacon bit,BACON,0.9781606
968,glace cherry,CHERRY,0.8488124
973,demerara sugar,CANE SUGAR,0.8175864
974,graham cracker,WHOLEGRAIN CRACKER,0.8545909
975,butter bean,BEAN FLOUR,0.8161737
977,walnut half,WALNUT,0.93372995
980,pork sparerib,PORK HAM,0.9078298
981,espresso powder,ESPRESSO,0.9337803
984,escarole,CAMEMBERT,0.84578645
985,banana pepper,BANANA,0.8819846
986,pecorino cheese,CHEESE SEMIHARD,0.85510373
988,grape leaf,GRAPE,0.92276096
991,manicotti,PECORINO,0.8389819
992,andouille sausage,PORK SAUSAGE,0.82242846
994,baking chocolate,CHOCOLATE CREAM COOKY,0.88632697
996,pimento,PLAICE,0.8421587
997,beef mince,BEEF WITH BONE,0.8940341
998,tamarind juice,LETTUCE,0.8329656
999,ice cream,ICE CREAM,1.0000002
1003,pickling spice,CASHEW NUT,0.8247724
1006,strawberry jam,STRAWBERRY JUICE,0.9479626
1007,saltine cracker,FLAVOR CRACKER,0.86859787
1010,tuna water,TUNA,0.9284379
1011,ciabatta,STRACCHINO,0.8270249
1012,syrup,CREAM,0.82515395
1014,wheat pita bread,WHOLE WHEAT FLOUR,0.8938477
1015,lebanese cucumber,CUCUMBER,0.8677103
1017,beetroot,BEETROOT,0.9999999
1018,orange blossom water,ORANGE JUICE,0.8290014
1019,almond milk,ALMOND MILK,0.99999976
1020,mascarpone,MASCARPONE,1.0
1021,broiler fryer chicken,CHICKEN WITH BONE,0.8625921
1024,pomegranate seed,POMEGRANATE,0.9326236
1025,kiwi,KIWI,0.9999999
1027,kirsch,CAMEMBERT,0.854311
1028,gherkin,GHERKIN,1.0000005
1030,grapefruit juice,CRANBERRY JUICE,0.84825754
1031,burrito flour tortilla,SORGHUM FLOUR,0.8202486
1032,chicken tender,CHICKEN WITH BONE,0.8477581
1033,walnut oil,WALNUT,0.8922337
1034,peanut oil vegetable,PEANUT OIL,0.88648784
1035,lemonade,LEMON,0.8433029
1036,orange juice zest,ORANGE JUICE,0.9663342
1040,coconut extract,COCONUT,0.90965337
1042,mango powder,MANGO JUICE,0.932346
1045,chicken breast meat,CHICKEN WITH BONE,0.91339755
1047,coconut flake,COCONUT,0.88780326
1050,rotel tomato chilies,TOMATO CHOP,0.83912313
1051,bacon grease,BACON,0.9473374
1055,tamari soy sauce,SOY CREAM,0.9021554
1058,fenugreek,GHERKIN,0.82382905
1062,pearl onion,ONION,0.82490534
1063,rice paper,RICE,0.91534907
1064,edamame,HAKE,0.83145034
1065,string bean,BEAN,0.8345652
1066,pomegranate juice,POMEGRANATE,0.91925687
1067,navel orange,ORANGE,0.8283064
1070,green grape,GREEN BEAN,0.8878231
1075,sesame seed oil,SESAME SEED,0.94888914
1078,amarula cream liqueur,HAZELNUT CREAM,0.83444154
1079,french green bean,GREEN BEAN,0.84503776
1080,nonfat plain yogurt,YOGURT WHITE,0.85283047
1082,lime peel,LIME,0.89076835
1084,cheddar cheese soup,CHEESE SEMIHARD,0.8440807
1085,plum sauce,PLUM,0.8251842
1086,bisquick,WHITING,0.82356334
1088,green peppercorn,GREEN BEAN,0.84084374
1089,almond meal,ALMOND PASTE,0.89888686
1090,mushroom stem,MUSHROOM,0.9281677
1097,chicken thigh fillet,CHICKEN WITH BONE,0.88140726
1099,chestnut,CHESTNUT,0.99999994
1106,garlic granule,GARLIC,0.89872175
1113,vegetable stock chicken,CHICKEN WITH BONE,0.8519542
1114,no salt tomato,PESTO WITHOUT GARLIC,0.8559727
1116,cream coconut,COCONUT MILK,0.854491
1117,lager beer,BEER IN GLASS,0.8801614
1118,pork belly,PORK NECK,0.9623613
1124,suet,HAKE,0.8621279
1127,chicken cutlet,CHICKEN WITH BONE,0.88992405
1128,potato flake,POTATO,0.84966487
1131,monterey jack cheddar cheese,CHEESE SEMIHARD,0.8489577
1132,bulb garlic,GARLIC,0.84445995
1133,mini chocolate chip,HAZELNUT CHOCOLATE,0.90337336
1134,milk chocolate chip,MILK CHOCOLATE,0.960796
1138,tapioca flour,SORGHUM FLOUR,0.83045554
1144,pineapple tidbit,PINEAPPLE,0.910682
1147,halibut fillet,KETCHUP,0.8264909
1151,bread machine yeast,YEAST COMPRESS,0.8173013
1153,yam,HAKE,0.8148348
1154,bread dough,BREAD WHOLE,0.91753894
1155,fire tomato,TOMATO,0.8654172
1157,colby cheese,CHEESE,0.8709652
1159,crab,SHRIMP,0.8563867
1160,mung bean sprout,MUNG BEAN FLOUR,0.8511676
1161,wasabi,HAKE,0.8512957
1166,baby shrimp,SHRIMP,0.82741946
1169,lobster,LOBSTER,1.0000002
1170,coconut rum,COCONUT MILK,0.8539876
1171,stilton cheese,CHEESE,0.88324165
1174,lobster tail,LOBSTER,0.9311079
1175,ouzo,QUINOA,0.8525777
1176,ginger juice,GINGER,0.84028476
1177,matzo meal,OAT MEAL,0.8950168
1179,muenster cheese,CHEESE,0.85984194
1183,cranberry sauce,CRANBERRY JUICE,0.93932784
